Date,Treatment,Material,Biological Replication,Population (Log CFU/coupon)
11/18/2024,Det+Chlorine  ,Foam,1,5.10
11/18/2024,Det+Chlorine  ,Foam,1,5.45
11/18/2024,Det+Chlorine  ,Foam,1,5.36
11/18/2024,Det+Chlorine  ,Foam,1,5.31
11/18/2024,Det+Chlorine  ,Foam,1,5.00
11/18/2024,Det+Chlorine  ,Foam,1,4.96
11/21/2024,Det+Chlorine ,Foam,2,3.48
11/21/2024,Det+Chlorine ,Foam,2,3.01
11/21/2024,Det+Chlorine ,Foam,2,4.12
11/21/2024,Det+Chlorine ,Foam,2,4.26
11/21/2024,Det+Chlorine ,Foam,2,3.00
11/21/2024,Det+Chlorine ,Foam,2,3.00
10/25/2024,Det+Chlorine ,Foam,3,4.33
10/25/2024,Det+Chlorine ,Foam,3,3.85
10/25/2024,Det+Chlorine ,Foam,3,3.48
10/25/2024,Det+Chlorine ,Foam,3,3.01
10/25/2024,Det+Chlorine ,Foam,3,4.63
10/25/2024,Det+Chlorine ,Foam,3,4.54
11/18/2024,Det+SaniDate  ,Foam,1,4.54
11/18/2024,Det+SaniDate  ,Foam,1,4.65
11/18/2024,Det+SaniDate  ,Foam,1,5.65
11/18/2024,Det+SaniDate  ,Foam,1,5.96
11/18/2024,Det+SaniDate  ,Foam,1,4.88
11/18/2024,Det+SaniDate  ,Foam,1,4.89
11/21/2024,Det+SaniDate ,Foam,2,3.00
11/21/2024,Det+SaniDate ,Foam,2,3.00
11/21/2024,Det+SaniDate ,Foam,2,3.71
11/21/2024,Det+SaniDate ,Foam,2,3.96
11/21/2024,Det+SaniDate ,Foam,2,3.00
11/21/2024,Det+SaniDate ,Foam,2,3.00
10/25/2024,Det+SaniDate,Foam,3,4.73
10/25/2024,Det+SaniDate,Foam,3,4.87
10/25/2024,Det+SaniDate,Foam,3,4.83
10/25/2024,Det+SaniDate,Foam,3,5.02
10/25/2024,Det+SaniDate,Foam,3,5.17
10/25/2024,Det+SaniDate,Foam,3,5.80
11/18/2024,Det+Water  ,Foam,1,5.29
11/18/2024,Det+Water  ,Foam,1,5.30
11/18/2024,Det+Water  ,Foam,1,5.19
